time,vehicle_id,x,y
34,2,140.85,-6.84
35,2,128.3,-6.09
36,2,115.83,-5.34
37,2,103.67,-4.61
38,2,91.48,-3.88
39,2,79.44,-3.16
40,2,66.47,-2.38
41,2,53.88,-1.63
42,2,42.02,-0.91
43,2,29.71,-0.18
44,2,21.89,0.29
45,2,18.56,0.49
46,2,18.48,0.5
47,2,18.47,0.5
48,2,18.46,0.5
49,2,18.46,0.5
50,2,18.46,0.5
51,2,18.46,0.5
52,2,18.46,0.5
53,2,18.46,0.5
54,2,18.46,0.5
55,2,18.46,0.5
56,2,18.46,0.5
57,2,18.46,0.5
58,2,18.46,0.5
59,2,18.46,0.5
60,2,18.46,0.5
61,2,18.46,0.5
62,2,18.46,0.5
63,2,18.46,0.5
64,2,18.46,0.5
65,2,18.46,0.5
66,2,18.46,0.5
67,2,18.46,0.5
68,2,18.46,0.5
69,2,18.46,0.5
70,2,18.46,0.5
71,2,18.46,0.5
72,2,18.46,0.5
73,2,18.46,0.5
74,2,18.46,0.5
75,2,18.46,0.5
76,2,18.46,0.5
76,33,134.44,-6.46
77,2,18.46,0.5
77,33,122.67,-5.75
78,2,18.46,0.5
78,33,110.99,-5.05
79,2,18.46,0.5
79,33,99.42,-4.36
80,2,18.46,0.5
80,33,86.7,-3.59
81,2,18.46,0.5
81,33,74.12,-2.84
82,2,18.46,0.5
82,33,62.27,-2.13
83,2,18.46,0.5
83,33,50.1,-1.4
84,2,18.46,0.5
84,33,38.66,-0.71
85,2,18.46,0.5
85,33,30.46,-0.22
86,2,18.46,0.5
86,33,26.6,0.01
87,2,18.46,0.5
87,33,26.03,0.05
88,2,18.46,0.5
88,33,25.96,0.05
89,2,18.46,0.5
89,33,25.95,0.05
90,2,18.46,0.5
90,33,25.95,0.05
91,2,18.46,0.5
91,33,25.95,0.05
92,2,18.46,0.5
92,33,25.95,0.05
93,2,18.46,0.5
93,33,25.95,0.05
94,2,18.46,0.5
94,33,25.95,0.05
94,51,144.44,-7.06
95,2,18.46,0.5
95,33,25.95,0.05
95,51,129.27,-6.15
96,2,18.46,0.5
96,33,25.95,0.05
96,51,113.56,-5.21
97,2,18.46,0.5
97,33,25.95,0.05
97,51,98.0,-4.27
98,2,18.46,0.5
98,33,25.95,0.05
98,51,82.42,-3.34
99,2,18.46,0.5
99,33,25.95,0.05
99,51,66.47,-2.38
100,2,18.46,0.5
100,33,25.95,0.05
100,51,51.56,-1.49
101,2,18.46,0.5
101,33,25.95,0.05
101,51,41.14,-0.86
102,2,18.46,0.5
102,33,25.95,0.05
102,51,35.21,-0.51
103,2,18.46,0.5
103,33,25.95,0.05
103,51,33.45,-0.4
104,2,18.46,0.5
104,33,25.95,0.05
104,51,33.44,-0.4
105,2,18.46,0.5
105,33,25.95,0.05
105,51,33.44,-0.4
106,2,18.46,0.5
106,33,25.95,0.05
106,51,33.44,-0.4
107,2,18.46,0.5
107,33,25.95,0.05
107,51,33.43,-0.4
108,2,18.46,0.5
108,33,25.95,0.05
108,51,33.43,-0.4
109,2,18.46,0.5
109,33,25.95,0.05
109,51,33.43,-0.4
110,2,18.46,0.5
110,33,25.95,0.05
110,51,33.43,-0.4
111,2,18.46,0.5
111,33,25.95,0.05
111,51,33.43,-0.4
112,2,18.46,0.5
112,33,25.95,0.05
112,51,33.43,-0.4
112,62,133.19,-6.38
113,2,18.46,0.5
113,33,25.95,0.05
113,51,33.43,-0.4
113,62,119.92,-5.59
114,2,17.05,0.54
114,33,25.95,0.05
114,51,33.43,-0.4
114,62,107.06,-4.82
115,2,13.65,0.37
115,33,24.58,0.13
115,51,33.43,-0.4
115,62,93.72,-4.02
116,2,8.79,0.02
116,33,21.58,0.31
116,51,32.59,-0.35
116,62,80.28,-3.21
117,2,2.47,-2.64
