time,vehicle_id,x,y
54,18,142.69,-0.55
55,18,129.51,0.24
56,18,116.3,1.03
57,18,103.07,1.83
58,18,89.36,2.65
59,18,76.64,3.41
60,18,63.54,4.2
61,18,50.33,4.99
62,18,36.96,5.79
63,18,26.78,6.4
63,25,138.48,-0.3
64,18,21.1,6.74
64,25,125.13,0.5
65,18,18.87,6.88
65,25,111.38,1.33
66,18,18.85,6.88
66,25,98.03,2.13
67,18,18.84,6.88
67,25,84.55,2.94
68,18,18.84,6.88
68,25,70.9,3.76
69,18,18.84,6.88
69,25,57.66,4.55
70,18,18.84,6.88
70,25,44.09,2.16
71,18,18.84,6.88
71,25,31.94,2.89
72,18,18.84,6.88
72,25,23.41,3.4
73,18,18.84,6.88
73,25,19.37,3.65
74,18,18.84,6.88
74,25,18.74,3.68
75,18,18.84,6.88
75,25,18.68,3.69
76,18,16.69,7.02
76,25,16.37,3.83
77,18,12.09,7.32
77,25,11.95,4.12
78,18,5.65,7.81
78,25,5.11,4.64
79,18,-3.28,8.78
79,25,-3.52,5.58
80,18,-14.33,10.4
80,25,-14.2,7.15
81,18,-27.75,12.54
81,25,-27.3,9.23
82,18,-40.98,14.65
82,25,-40.73,11.38
83,18,-54.0,16.74
83,25,-54.01,13.51
84,18,-66.71,18.77
84,25,-67.0,15.59
85,18,-79.84,20.87
85,25,-79.99,17.66
86,18,-92.38,22.88
86,25,-93.5,19.83
87,18,-105.55,24.99
87,25,-107.18,22.01
88,18,-118.28,27.02
88,25,-120.82,24.2
89,18,-130.98,29.05
89,25,-134.2,26.34
90,18,-143.83,31.11
120,65,133.79,-0.02
121,65,122.21,0.68
122,65,111.2,1.34
123,65,100.26,2.0
123,66,143.02,-0.57
124,65,88.81,2.68
124,66,131.91,0.1
125,65,76.94,3.39
125,66,120.8,0.76
126,65,65.72,4.07
126,66,109.88,1.42
127,65,54.11,4.76
127,66,98.17,2.12
128,65,42.88,5.44
128,66,87.02,2.79
129,65,31.19,6.14
129,66,75.57,3.48
130,65,23.99,6.57
130,66,63.96,4.17
131,65,20.15,6.8
131,66,53.1,4.82
132,65,19.34,6.85
132,66,42.41,5.47
133,65,18.88,6.88
133,66,33.04,2.83
134,65,18.84,6.88
134,66,24.41,3.34
135,65,18.84,6.88
135,66,19.5,3.64
136,65,18.84,6.88
136,66,18.68,3.69
137,65,18.84,6.88
137,66,18.66,3.69
138,65,18.84,6.88
138,66,18.65,3.69
139,65,18.84,6.88
139,66,18.65,3.69
140,65,18.84,6.88
140,66,18.65,3.69
141,65,18.84,6.88
141,66,18.65,3.69
142,65,18.84,6.88
142,66,18.65,3.69
143,65,18.84,6.88
143,66,18.65,3.69
144,65,18.84,6.88
144,66,18.65,3.69
145,65,18.84,6.88
145,66,18.65,3.69
145,88,142.6,-0.54
146,65,18.84,6.88
146,66,18.65,3.69
146,88,128.35,0.31
147,65,18.84,6.88
147,66,18.65,3.69
147,88,115.16,1.1
148,65,18.84,6.88
148,66,18.65,3.69
148,88,101.31,1.93
149,65,18.84,6.88
149,66,18.65,3.69
149,88,88.18,2.72
150,65,18.84,6.88
150,66,18.65,3.69
150,88,74.32,3.55
151,65,18.84,6.88
151,66,18.65,3.69
151,88,61.15,4.34
152,65,18.84,6.88
152,66,18.65,3.69
152,88,48.33,5.11
153,65,18.84,6.88
153,66,18.65,3.69
153,88,39.77,2.42
154,65,18.84,6.88
154,66,18.65,3.69
154,88,31.54,-0.29
155,65,18.84,6.88
155,66,18.65,3.69
155,88,24.01,0.17
156,65,18.84,6.88
156,66,18.65,3.69
156,88,19.26,0.45
157,65,18.84,6.88
157,66,18.65,3.69
157,88,18.57,0.49
158,65,18.84,6.88
158,66,18.65,3.69
