time,vehicle_id,x,y
31,0,1.49,106.45
32,0,-0.12,92.98
33,0,-1.73,79.64
34,0,-3.41,65.64
35,0,-5.1,51.49
36,0,-6.82,37.16
37,0,-8.25,25.23
38,0,-9.39,15.77
39,0,-12.96,10.71
39,6,2.24,112.7
40,0,-18.62,11.07
40,6,0.59,98.94
41,0,-26.79,12.38
41,6,-1.04,85.38
42,0,-37.45,14.09
42,6,-2.61,72.25
43,0,-50.09,16.11
43,6,-4.31,58.11
44,0,-64.21,18.37
44,6,-5.89,44.94
45,0,-78.56,20.67
45,6,-7.54,31.22
46,0,-92.51,22.9
46,6,-8.85,20.24
47,0,-106.81,25.19
47,6,-9.89,13.77
48,0,-121.11,27.48
48,6,-14.12,10.6
49,0,-135.27,29.74
49,6,-20.69,11.41
50,6,-29.4,12.8
51,6,-39.6,14.43
52,6,-51.12,16.28
53,6,-64.46,18.41
54,6,-78.53,20.66
55,6,-91.53,22.74
56,6,-105.58,24.99
57,6,-118.74,27.1
58,6,-132.28,29.26
64,21,1.95,110.3
65,21,0.47,97.98
66,21,-0.99,85.75
67,21,-2.42,73.87
68,21,-3.95,61.08
69,21,-5.4,49.07
70,21,-6.84,37.03
71,21,-8.31,24.74
72,21,-9.4,15.65
73,21,-11.42,11.39
74,21,-16.71,10.77
75,21,-24.24,11.98
76,21,-33.08,13.39
77,21,-44.14,15.16
78,21,-56.97,17.21
79,21,-68.63,19.08
80,21,-80.97,21.05
81,21,-93.33,23.03
82,21,-106.2,25.09
83,21,-118.87,27.12
84,21,-130.98,29.05
85,21,-143.68,31.09
105,53,2.24,112.73
106,53,0.86,101.19
107,53,-0.59,89.13
107,56,2.03,110.94
108,53,-1.94,77.82
108,56,0.64,99.36
109,53,-3.41,65.61
109,56,-0.71,88.15
110,53,-4.86,53.49
110,56,-2.19,75.8
111,53,-5.9,44.83
111,56,-3.65,63.61
112,53,-6.41,40.63
112,56,-4.72,54.7
113,53,-6.6,38.99
113,56,-5.3,49.88
114,53,-6.61,38.95
114,56,-5.61,47.3
115,53,-6.61,38.95
115,56,-5.67,46.79
116,53,-6.61,38.95
116,56,-5.7,46.53
117,53,-6.61,38.95
117,56,-5.71,46.44
118,53,-6.61,38.95
118,56,-5.72,46.4
119,53,-6.61,38.95
119,56,-5.72,46.39
120,53,-6.61,38.95
120,56,-5.72,46.39
121,53,-6.61,38.95
121,56,-5.72,46.39
122,53,-6.61,38.95
122,56,-5.72,46.39
123,53,-6.61,38.95
123,56,-5.72,46.39
124,53,-6.61,38.95
124,56,-5.72,46.39
125,53,-6.61,38.95
125,56,-5.72,46.39
126,53,-6.61,38.95
126,56,-5.72,46.39
127,53,-6.61,38.95
127,56,-5.72,46.39
127,72,2.37,113.78
128,53,-6.61,38.95
128,56,-5.72,46.39
128,72,0.81,100.75
129,53,-6.61,38.95
129,56,-5.72,46.39
129,72,-0.81,87.29
130,53,-6.61,38.95
130,56,-5.72,46.39
130,72,-2.35,74.46
131,53,-6.61,38.95
131,56,-5.72,46.39
131,72,-3.56,64.38
132,53,-6.61,38.95
132,56,-5.72,46.39
132,72,-4.45,56.98
132,75,2.35,113.6
133,53,-6.61,38.95
133,56,-5.72,46.39
133,72,-4.8,54.05
133,75,0.8,100.68
134,53,-6.61,38.95
134,56,-5.72,46.39
134,72,-4.82,53.88
134,75,-0.74,87.85
135,53,-6.61,38.95
135,56,-5.72,46.39
135,72,-4.82,53.84
135,75,-2.2,75.72
136,53,-6.61,38.95
136,56,-5.72,46.39
136,72,-4.82,53.84
136,75,-3.3,66.51
137,53,-6.61,38.95
137,56,-5.72,46.39
137,72,-4.82,53.84
137,75,-3.87,61.78
138,53,-6.61,38.95
138,56,-5.72,46.39
138,72,-4.82,53.84
138,75,-3.92,61.34
139,53,-6.61,38.95
139,56,-5.72,46.39
139,72,-4.82,53.84
139,75,-3.93,61.3
140,53,-6.61,38.95
140,56,-5.72,46.39
140,72,-4.82,53.84
140,75,-3.93,61.29
141,53,-6.61,38.95
141,56,-5.72,46.39
141,72,-4.82,53.84
141,75,-3.93,61.29
142,53,-6.61,38.95
142,56,-5.72,46.39
142,72,-4.82,53.84
142,75,-3.93,61.29
143,53,-6.61,38.95
143,56,-5.72,46.39
143,72,-4.82,53.84
143,75,-3.93,61.29
144,53,-6.61,38.95
144,56,-5.72,46.39
144,72,-4.82,53.84
144,75,-3.93,61.29
145,53,-6.71,38.09
145,56,-5.72,46.39
145,72,-4.82,53.84
145,75,-3.93,61.29
146,53,-6.95,36.11
146,56,-5.78,45.87
146,72,-4.82,53.84
146,75,-3.93,61.29
147,53,-7.4,32.36
147,56,-6.04,43.67
147,72,-4.86,53.55
147,75,-3.93,61.29
148,53,-8.15,26.08
148,56,-6.5,39.9
148,72,-5.07,51.77
148,75,-3.96,61.05
149,53,-8.99,19.13
149,56,-7.19,34.14
149,72,-5.51,48.08
149,75,-4.12,59.7
