time,vehicle_id,x,y,speed
33,14,-44.71,-495.41,0.0
34,14,-44.48,-493.1,2.3214219780126175
35,14,-44.01,-488.33,4.7930992061504805
36,14,-43.36,-481.86,6.5025687232046705
37,14,-42.53,-473.59,8.311546185879054
38,14,-41.54,-463.65,9.989179145455344
39,14,-40.35,-451.74,11.969302402395858
40,14,-39.23,-440.6,11.196160056019194
41,14,-38.12,-429.47,11.18521345348402
42,14,-36.9,-417.31,12.221047418286233
43,14,-35.78,-406.09,11.275761615075082
44,14,-34.64,-394.7,11.446907879423145
45,14,-33.52,-383.51,11.245910367773698
46,14,-32.3,-371.28,12.290699735979253
47,14,-31.16,-359.89,11.446907879423145
48,14,-30.05,-348.77,11.175262860443153
49,14,-28.91,-337.35,11.476759124421802
49,21,-44.71,-495.41,0.0
50,14,-27.75,-325.79,11.618054914657618
50,21,-44.52,-493.44,1.9791412279067166
51,14,-26.61,-314.31,11.536463929645011
51,21,-44.13,-489.55,3.909501246962315
52,14,-25.47,-302.93,11.436957637413888
52,21,-43.54,-483.7,5.8796768618692195
53,14,-24.27,-291.0,11.990200165134866
53,21,-42.82,-476.44,7.295615121427382
54,14,-23.08,-279.07,11.989203476461652
54,21,-41.85,-466.77,9.718528695229557
55,14,-21.95,-267.73,11.396161634515344
55,21,-40.68,-455.06,11.76830489067986
56,14,-20.82,-256.45,11.336458882737618
56,21,-39.32,-441.49,13.637980055712056
57,14,-19.6,-244.3,12.211097411780786
57,21,-37.99,-428.17,13.386235467822901
58,14,-18.45,-232.8,11.557356964289024
58,21,-36.7,-415.27,12.964339551245981
59,14,-17.26,-220.84,12.019055703340433
59,21,-35.34,-401.68,13.657880509068724
60,14,-16.15,-209.75,11.145411611959428
60,21,-34.03,-388.6,13.14543647050183
61,14,-14.98,-198.0,11.80810738433556
61,21,-32.77,-376.0,12.662843282612345
62,14,-13.8,-186.28,11.779252947449596
62,21,-31.52,-363.45,12.61209736721059
63,14,-12.61,-174.3,12.038957596071171
63,21,-30.21,-350.41,13.105636192112119
64,14,-11.39,-162.15,12.211097411780816
64,21,-28.92,-337.51,12.964339551245981
65,14,-10.22,-150.45,11.758354476711459
65,21,-27.67,-324.97,12.602146642536702
66,14,-9.12,-139.49,11.015062414711936
66,21,-26.42,-312.49,12.54244394047669
67,14,-8.02,-128.4,11.144420128476854
67,21,-25.18,-300.02,12.531500309220787
68,14,-6.9,-117.2,11.2558606956554
68,21,-23.91,-287.33,12.753391705738515
69,14,-5.72,-105.45,11.809102421437457
69,21,-22.54,-273.64,13.758379265015192
70,14,-4.59,-94.14,11.36630986732282
70,21,-21.29,-261.15,12.552394193937674
71,14,-3.48,-82.99,11.205114903471545
71,21,-19.96,-247.9,13.316583645965629
72,14,-2.35,-71.75,11.296658798069448
72,21,-18.68,-235.03,12.93349527390025
73,14,-1.19,-60.1,11.707608637121416
73,21,-17.42,-222.46,12.632992519589324
74,14,-0.01,-48.37,11.789202687204938
74,21,-16.09,-209.11,13.416087358093636
75,14,1.14,-36.85,11.57725787913528
75,21,-14.83,-196.51,12.662843282612345
76,14,2.36,-24.62,12.290699735979235
76,21,-13.58,-184.05,12.522543671315324
77,14,3.14,-16.88,7.779203044014215
77,21,-12.32,-171.46,12.652892949835627
78,14,3.49,-13.37,3.527406979638159
78,21,-10.96,-157.84,13.687731733198168
79,14,3.57,-12.55,0.8238931969618377
79,21,-9.7,-145.27,12.632992519589324
80,14,3.61,-12.13,0.42190046219457966
80,21,-8.39,-132.17,13.165337063668387
81,14,3.64,-11.84,0.29154759474226594
81,21,-7.06,-118.81,13.42603813490784
82,14,3.64,-11.83,0.009999999999999787
82,21,-5.74,-105.65,13.226034931149997
83,14,3.64,-11.83,0.0
83,21,-4.42,-92.4,13.315588608844898
84,14,3.64,-11.83,0.0
84,21,-3.11,-79.33,13.135486287153597
85,14,3.64,-11.83,0.0
85,21,-1.77,-65.91,13.486734222931808
86,14,3.64,-11.83,0.0
86,21,-0.48,-53.07,12.904638700870315
87,14,3.64,-11.83,0.0
87,21,-2.41,-40.2,13.013907944964108
88,14,3.64,-11.83,0.0
88,21,-1.1,-27.09,13.175287473144564
89,14,3.64,-11.83,0.0
89,21,-0.22,-18.32,8.814039936374238
90,14,3.64,-11.83,0.0
90,21,0.24,-13.71,4.6328932644730765
91,14,3.64,-11.83,0.0
91,21,0.42,-11.92,1.7990275150758543
92,14,3.64,-11.83,0.0
92,21,0.45,-11.58,0.3413209633175201
93,14,3.64,-11.83,0.0
93,21,0.46,-11.52,0.06082762530298269
94,14,3.64,-11.83,0.0
94,21,0.46,-11.51,0.009999999999999787
95,14,3.64,-11.83,0.0
95,21,0.46,-11.51,0.0
96,14,3.64,-11.83,0.0
96,21,0.46,-11.51,0.0
97,14,3.64,-11.83,0.0
97,21,0.46,-11.51,0.0
98,14,3.64,-11.83,0.0
98,21,0.46,-11.51,0.0
99,14,3.64,-11.83,0.0
99,21,0.46,-11.51,0.0
100,14,3.64,-11.83,0.0
100,21,0.46,-11.51,0.0
101,14,3.64,-11.83,0.0
101,21,0.46,-11.51,0.0
102,14,3.64,-11.83,0.0
102,21,0.46,-11.51,0.0
103,14,3.64,-11.83,0.0
103,21,0.46,-11.51,0.0
104,14,3.64,-11.83,0.0
104,21,0.46,-11.51,0.0
105,14,3.64,-11.83,0.0
105,21,0.46,-11.51,0.0
106,14,3.64,-11.83,0.0
106,21,0.46,-11.51,0.0
107,14,3.64,-11.83,0.0
107,21,0.46,-11.51,0.0
108,14,3.64,-11.83,0.0
108,21,0.46,-11.51,0.0
109,14,3.64,-11.83,0.0
109,21,0.46,-11.51,0.0
110,14,3.64,-11.83,0.0
110,21,0.46,-11.51,0.0
111,14,3.64,-11.83,0.0
111,21,0.46,-11.51,0.0
112,14,3.64,-11.83,0.0
112,21,0.46,-11.51,0.0
113,14,3.64,-11.83,0.0
113,21,0.46,-11.51,0.0
