time,vehicle_id,x,y
48,13,11.61,110.23
49,13,9.91,96.03
50,13,8.12,81.16
51,13,6.46,67.28
52,13,4.76,53.13
53,13,3.09,39.25
54,13,1.34,24.65
55,13,0.2,12.98
56,13,2.98,3.04
57,13,13.29,-1.91
58,13,24.56,-3.08
59,13,37.77,-3.87
60,13,52.24,-4.74
61,13,67.19,-5.64
62,13,81.5,-6.49
62,20,12.62,118.67
63,13,95.83,-7.35
63,20,11.27,107.38
64,13,110.25,-8.22
64,20,9.89,95.9
65,13,125.28,-9.12
65,20,8.49,84.2
66,13,139.12,-9.95
66,20,7.16,73.1
67,20,5.79,61.71
68,20,4.45,50.59
69,20,3.04,38.76
70,20,1.65,27.24
71,20,0.31,16.05
72,20,0.47,7.68
73,20,6.08,0.64
74,20,14.42,-2.12
75,20,23.67,-3.02
76,20,34.31,-3.66
77,20,45.29,-4.32
78,20,57.28,-5.04
79,20,69.1,-5.75
80,20,81.02,-6.47
81,20,92.89,-7.18
82,20,104.99,-7.9
82,32,11.49,109.2
83,20,116.19,-8.58
83,32,10.13,97.91
84,20,128.1,-12.49
84,32,8.91,87.7
85,20,139.65,-13.18
85,32,7.55,76.41
86,32,6.26,65.62
87,32,4.83,53.72
88,32,3.48,42.45
89,32,2.23,32.04
90,32,1.51,26.09
91,32,1.31,24.4
92,32,1.22,23.63
93,32,1.14,22.96
94,32,1.13,22.92
95,32,1.13,22.92
96,32,1.13,22.91
97,32,1.13,22.91
98,32,1.13,22.91
99,32,1.13,22.91
100,32,1.13,22.91
101,32,1.13,22.91
102,32,1.13,22.91
103,32,1.13,22.91
104,32,1.13,22.91
105,32,1.13,22.91
106,32,1.13,22.91
107,32,1.13,22.91
108,32,1.13,22.91
109,32,1.13,22.91
110,32,1.13,22.91
111,32,1.13,22.91
112,32,1.13,22.91
113,32,1.13,22.91
114,32,1.13,22.91
115,32,1.13,22.91
116,32,1.13,22.91
117,32,1.13,22.91
118,32,1.13,22.91
118,63,12.23,115.37
119,32,1.13,22.91
119,63,10.75,103.07
120,32,1.13,22.91
120,63,9.35,91.34
121,32,1.13,22.91
121,63,7.99,80.03
122,32,1.13,22.91
122,63,6.54,67.98
123,32,1.13,22.91
123,63,5.11,56.02
124,32,1.13,22.91
124,63,3.95,46.39
125,32,1.13,22.91
125,63,3.23,40.41
126,32,1.13,22.91
126,63,2.97,38.19
127,32,1.13,22.91
127,63,2.94,37.96
128,32,1.13,22.91
128,63,2.92,37.83
129,32,1.13,22.91
129,63,2.92,37.81
130,32,1.13,22.91
130,63,2.92,37.81
131,32,1.13,22.91
131,63,2.92,37.81
132,32,1.13,22.91
132,63,2.92,37.81
133,32,1.13,22.91
133,63,2.92,37.81
134,32,1.13,22.91
134,63,2.92,37.81
135,32,1.13,22.91
135,63,2.92,37.81
136,32,1.13,22.91
136,63,2.92,37.81
137,32,1.13,22.91
137,63,2.92,37.81
138,32,1.13,22.91
138,63,2.92,37.81
139,32,1.13,22.91
139,63,2.92,37.81
140,32,1.13,22.91
140,63,2.92,37.81
140,82,12.54,117.97
141,32,1.13,22.91
141,63,2.92,37.81
141,82,11.03,105.4
142,32,1.13,22.91
142,63,2.92,37.81
142,82,9.49,92.56
143,32,1.13,22.91
143,63,2.92,37.81
143,82,7.88,79.12
144,32,1.13,22.91
144,63,2.92,37.81
144,82,6.29,65.88
145,32,1.13,22.91
145,63,2.92,37.81
145,82,5.24,57.11
146,32,1.13,22.91
146,63,2.92,37.81
146,82,4.72,52.81
147,32,1.13,22.91
147,63,2.92,37.81
147,82,4.71,52.72
148,32,1.13,22.91
148,63,2.92,37.81
148,82,4.71,52.7
149,32,1.13,22.91
149,63,2.92,37.81
149,82,4.71,52.7
150,32,1.13,22.91
150,63,2.92,37.81
150,82,4.71,52.7
150,84,12.2,115.13
151,32,1.13,22.91
151,63,2.92,37.81
151,82,4.71,52.7
151,84,10.85,103.88
152,32,1.13,22.91
152,63,2.92,37.81
152,82,4.71,52.7
152,84,9.52,92.8
153,32,1.13,22.91
153,63,2.92,37.81
153,82,4.71,52.7
153,84,8.19,81.72
154,32,1.13,22.91
154,63,2.92,37.81
154,82,4.71,52.7
154,84,6.91,71.01
155,32,1.13,22.91
155,63,2.92,37.81
155,82,4.71,52.7
155,84,6.01,63.59
156,32,1.13,22.91
156,63,2.92,37.81
156,82,4.71,52.7
156,84,5.66,60.63
157,32,1.13,22.91
157,63,2.92,37.81
157,82,4.71,52.7
157,84,5.63,60.38
158,32,1.13,22.91
158,63,2.92,37.81
158,82,4.71,52.7
158,84,5.61,60.19
159,32,1.13,22.91
159,63,2.92,37.81
159,82,4.71,52.7
159,84,5.6,60.16
159,96,12.57,118.22
160,32,1.13,22.91
160,63,2.92,37.81
160,82,4.71,52.7
160,84,5.6,60.15
160,96,10.95,104.72
161,32,1.13,22.91
161,63,2.92,37.81
161,82,4.71,52.7
161,84,5.6,60.15
161,96,9.36,91.49
162,32,1.13,22.91
162,63,2.92,37.81
162,82,4.71,52.7
162,84,5.6,60.15
162,96,8.01,80.23
163,32,1.13,22.91
163,63,2.92,37.81
163,82,4.71,52.7
163,84,5.6,60.15
163,96,7.1,72.65
164,32,1.13,22.91
164,63,2.92,37.81
164,82,4.71,52.7
164,84,5.6,60.15
164,96,6.6,68.45
165,32,1.13,22.91
165,63,2.92,37.81
165,82,4.71,52.7
165,84,5.6,60.15
165,96,6.51,67.74
166,32,1.13,22.91
166,63,2.92,37.81
166,82,4.71,52.7
166,84,5.6,60.15
166,96,6.5,67.62
167,32,1.13,22.91
167,63,2.92,37.81
167,82,4.71,52.7
167,84,5.6,60.15
167,96,6.5,67.6
168,32,1.13,22.91
168,63,2.92,37.81
168,82,4.71,52.7
168,84,5.6,60.15
168,96,6.5,67.6
169,32,1.13,22.91
169,63,2.92,37.81
169,82,4.71,52.7
169,84,5.6,60.15
169,96,6.5,67.6
170,32,1.13,22.91
170,63,2.92,37.81
170,82,4.71,52.7
170,84,5.6,60.15
170,96,6.5,67.6
171,32,1.13,22.91
171,63,2.92,37.81
171,82,4.71,52.7
171,84,5.6,60.15
171,96,6.5,67.6
172,32,1.13,22.91
172,63,2.92,37.81
172,82,4.71,52.7
172,84,5.6,60.15
172,96,6.5,67.6
173,32,1.13,22.91
173,63,2.92,37.81
173,82,4.71,52.7
173,84,5.6,60.15
173,96,6.5,67.6
174,32,1.13,22.91
174,63,2.92,37.81
174,82,4.71,52.7
174,84,5.6,60.15
174,96,6.5,67.6
175,32,1.13,22.91
175,63,2.92,37.81
175,82,4.71,52.7
175,84,5.6,60.15
175,96,6.5,67.6
176,32,1.13,22.91
176,63,2.92,37.81
176,82,4.71,52.7
176,84,5.6,60.15
176,96,6.5,67.6
177,32,1.13,22.91
177,63,2.92,37.81
177,82,4.71,52.7
177,84,5.6,60.15
177,96,6.5,67.6
178,32,1.13,22.91
178,63,2.92,37.81
178,82,4.71,52.7
178,84,5.6,60.15
178,96,6.5,67.6
179,32,1.13,22.91
179,63,2.92,37.81
179,82,4.71,52.7
179,84,5.6,60.15
179,96,6.5,67.6
180,32,1.13,22.91
180,63,2.92,37.81
180,82,4.71,52.7
180,84,5.6,60.15
180,96,6.5,67.6
181,32,1.13,22.91
181,63,2.92,37.81
181,82,4.71,52.7
181,84,5.6,60.15
